,name,link,compensation,employer_name,employer_link,vacancy_address,pub_date
132,Senior iOS Developer,https://hh.ru/vacancy/45312779?query=Data%20science,Не указано,iHerb,https://hh.ru/employer/4464076,Москва,2 июля
133,IT рекрутер,https://hh.ru/vacancy/45415997?query=Data%20science,Не указано,inDriver,https://hh.ru/employer/2524797,Москва,2 июля
134,Junior Account Executive for European customers,https://hh.ru/vacancy/45182337?query=Data%20science,"('130000', '150000', 'руб.')",Improvado,https://hh.ru/employer/1815645,Москва,3 июля
135,Руководитель кампаний продаж продуктов Банка и экосистемы Сбера через digital каналы,https://hh.ru/vacancy/45869722?query=Data%20science,Не указано,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,30 июня
136,Заместитель руководителя по управлению рисками,https://hh.ru/vacancy/45063999?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,3 июля
137,Преподаватель по базам данных,https://hh.ru/vacancy/45457646?query=Data%20science,"('106000', '', 'руб.')",ФГБОУВО МИРЭА,https://hh.ru/employer/126738,Москва,30 июня
138,Web-разработчик,https://hh.ru/vacancy/41840218?query=Data%20science,"('2083', '4416', 'USD')",Торговый Отдел Посольства Республики Корея,https://hh.ru/employer/23777,Москва,2 июля
139,Golang программист,https://hh.ru/vacancy/45058679?query=Data%20science,"('250000', '', 'руб.')",Газпромбанк,https://hh.ru/employer/3388?dpt=3388-3388-gazprom,Москва,30 июня
140,Менеджер по продажам (ипотечное кредитование),https://hh.ru/vacancy/45539583?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,2 июля
141,Руководитель по работе с партнерами (ипотечное кредитование),https://hh.ru/vacancy/45218468?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,1 июля
142,Senior Product Analyst,https://hh.ru/vacancy/45582359?query=Data%20science,Не указано,ООО    Gett,https://hh.ru/employer/938231,Москва,28 июня
143,HR менеджер,https://hh.ru/vacancy/45066688?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,3 июля
144,Аналитик риск-отчетности,https://hh.ru/vacancy/45808817?query=Data%20science,Не указано,ПАО    МТС Банк. Головной офис,https://hh.ru/employer/4496?dpt=4496-4496-office,Москва,29 июня
145,Middle DS & Model Manager,https://hh.ru/vacancy/44249681?query=Data%20science,Не указано,Сбер. Data Science,https://hh.ru/employer/3529?dpt=3529-3529-data,Москва,29 июня
146,Аналитик-разработчик платформы А/В,https://hh.ru/vacancy/45297181?query=Data%20science,Не указано,"Mail.ru Group, E-commerce",https://hh.ru/employer/15478?dpt=mailru-15478-pcom,Москва,28 июня
147,"Инженер devops, Hadoop/Эксплуатация",https://hh.ru/vacancy/45833377?query=Data%20science,Не указано,Ozon Информационные технологии,https://hh.ru/employer/2180?dpt=ozonru-2180-dev,Москва,29 июня
148,Senior System Analyst,https://hh.ru/vacancy/44887849?query=Data%20science,Не указано,Arrival. Fintech,https://hh.ru/employer/1751001?dpt=1751001-1751001-fintech,Москва,28 июня
149,Руководитель отдела в2в продаж,https://hh.ru/vacancy/45924208?query=Data%20science,"('', '230000', 'руб.')",SkillFactory,https://hh.ru/employer/2869446,Москва,2 июля
150,Senior Consultant Sales Effectiveness Russia/Kazakhstan,https://hh.ru/vacancy/45833156?query=Data%20science,Не указано,GfK Rus,https://hh.ru/employer/1825,Москва,29 июня
151,Python разработчик/Python developer,https://hh.ru/vacancy/43822796?query=Data%20science,Не указано,dentsu,https://hh.ru/employer/6528,Москва,28 июня
152,SAP HCM consultant (PY/PT ),https://hh.ru/vacancy/45808999?query=Data%20science,Не указано,AB InBev Efes,https://hh.ru/employer/15959,Москва,29 июня
